workload,seed,query_id,algorithm,latency_ms,recall_at_10,valid_result_rate,exact_subset_size,subset_size_estimate,subset_estimate_error,estimate_num_cells,estimate_avg_cell_size,query_window_width,price_range_width,category_present,candidate_count,filtered_out_count,visited_partitions,ann_expansion_rounds,exact_distance_computations,planner_type,planner_mode,planner_feature_subset_size,planner_feature_num_cells,planner_feature_avg_cell_size,planner_feature_query_window_width,planner_feature_price_range_width,planner_feature_category_present,planner_feature_active_records,planner_feature_tombstoned_records,planner_feature_tombstone_ratio,planner_feature_open_ended_fraction,planner_feature_fragmentation_score,best_mode,best_mode_latency_ms,best_mode_recall_at_10,planner_matched_best_mode,planner_latency_regret,planner_recall_gap,active_records,tombstoned_records,tombstone_ratio,rebuild_count,cell_rebuild_count,maintenance_rebuild_count,maintenance_cell_rebuild_count,compaction_count,deleted_record_count,expired_record_count,open_ended_fraction,index_visible_size
static_n5000_d32,11,3,exact,0.4301000153645873,1.0,1.0,35,38.060527715967325,0.08744364902763786,24,1.9166666666666667,18,9.71717955142654,0,35,4965,0,0,35,,,,,,,,0,,,,,,partition_ann,0.24319998919963837,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,3,global_filter,2.5203999830409884,0.2,1.0,35,38.060527715967325,0.08744364902763786,24,1.9166666666666667,18,9.71717955142654,0,200,198,0,5,2,,,,,,,,0,,,,,,partition_ann,0.24319998919963837,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,3,partition_ann,0.24319998919963837,1.0,1.0,35,38.060527715967325,0.08744364902763786,24,1.9166666666666667,18,9.71717955142654,0,46,11,24,0,35,,,,,,,,0,,,,,,partition_ann,0.24319998919963837,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,3,hybrid,0.22980000358074903,1.0,1.0,35,38.060527715967325,0.08744364902763786,24,1.9166666666666667,18,9.71717955142654,0,46,11,24,0,35,RuleBasedPlanner,partition_ann,38.060527715967325,24,1.9166666666666667,18,9.71717955142654,0,5000,0,0.0,0.0,0.6305745463936753,partition_ann,0.24319998919963837,1.0,1,-0.05509862752456593,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,4,exact,0.3861000295728445,1.0,1.0,15,15.641920180193534,0.04279467867956891,14,1.2857142857142858,18,9.717179551426545,0,15,4985,0,0,15,,,,,,,,0,,,,,,partition_ann,0.17449998995289207,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,4,global_filter,2.547699958086014,0.1,1.0,15,15.641920180193534,0.04279467867956891,14,1.2857142857142858,18,9.717179551426545,0,200,199,0,5,1,,,,,,,,0,,,,,,partition_ann,0.17449998995289207,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,4,partition_ann,0.17449998995289207,1.0,1.0,15,15.641920180193534,0.04279467867956891,14,1.2857142857142858,18,9.717179551426545,0,18,3,14,0,15,,,,,,,,0,,,,,,partition_ann,0.17449998995289207,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,4,hybrid,0.3963999915868044,1.0,1.0,15,15.641920180193534,0.04279467867956891,14,1.2857142857142858,18,9.717179551426545,0,15,4985,0,0,15,RuleBasedPlanner,exact,15.641920180193534,14,1.2857142857142858,18,9.717179551426545,0,5000,0,0.0,0.0,0.8950307787484683,partition_ann,0.17449998995289207,1.0,0,1.2716333204020032,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,5,exact,0.29739999445155263,1.0,1.0,0,0,0.0,0,0.0,18,9.71717955142654,1,0,5000,0,0,0,,,,,,,,0,,,,,,partition_ann,0.04729995271191001,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,5,global_filter,2.5260999682359397,1.0,1.0,0,0,0.0,0,0.0,18,9.71717955142654,1,200,200,0,5,0,,,,,,,,0,,,,,,partition_ann,0.04729995271191001,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
