workload,seed,query_id,algorithm,latency_ms,recall_at_10,valid_result_rate,exact_subset_size,subset_size_estimate,subset_estimate_error,estimate_num_cells,estimate_avg_cell_size,query_window_width,price_range_width,category_present,candidate_count,filtered_out_count,visited_partitions,ann_expansion_rounds,exact_distance_computations,planner_type,planner_mode,planner_feature_subset_size,planner_feature_num_cells,planner_feature_avg_cell_size,planner_feature_query_window_width,planner_feature_price_range_width,planner_feature_category_present,planner_feature_active_records,planner_feature_tombstoned_records,planner_feature_tombstone_ratio,planner_feature_open_ended_fraction,planner_feature_fragmentation_score,best_mode,best_mode_latency_ms,best_mode_recall_at_10,active_records,tombstoned_records,tombstone_ratio,rebuild_count,cell_rebuild_count,compaction_count,deleted_record_count,expired_record_count,open_ended_fraction,index_visible_size
static_smoke,7,39,partition_ann,0.04600000102072954,1.0,1.0,2,2.0,0.0,1,2.0,18,9.356286317304798,1,2,0,1,0,2,,,,,,,,0,,,,,,partition_ann,0.04600000102072954,1.0,2000.0,0.0,0.0,0.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,39,hybrid,0.14839996583759785,1.0,1.0,2,2.0,0.0,1,2.0,18,9.356286317304798,1,2,1998,0,0,2,RuleBasedPlanner,exact,2.0,1,2.0,18,9.356286317304798,1,2000,0,0.0,0.0,0.5,partition_ann,0.04600000102072954,1.0,2000.0,0.0,0.0,1.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,40,exact,0.17179996939375997,1.0,1.0,16,18.001412424325842,0.12508827652036514,16,1.5,18,9.3562863173048,0,16,1984,0,0,16,,,,,,,,0,,,,,,partition_ann,0.11669995728880167,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_smoke,7,40,global_filter,1.1408000136725605,1.0,1.0,16,18.001412424325842,0.12508827652036514,16,1.5,18,9.3562863173048,0,1600,1193,0,5,10,,,,,,,,0,,,,,,partition_ann,0.11669995728880167,1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000
static_smoke,7,40,partition_ann,0.11669995728880167,1.0,1.0,16,18.001412424325842,0.12508827652036514,16,1.5,18,9.3562863173048,0,24,8,16,0,16,,,,,,,,0,,,,,,partition_ann,0.11669995728880167,1.0,2000.0,0.0,0.0,0.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,40,hybrid,0.17449998995289207,1.0,1.0,16,18.001412424325842,0.12508827652036514,16,1.5,18,9.3562863173048,0,16,1984,0,0,16,RuleBasedPlanner,exact,18.001412424325842,16,1.5,18,9.3562863173048,0,2000,0,0.0,0.0,0.8888191450121283,partition_ann,0.11669995728880167,1.0,2000.0,0.0,0.0,1.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,41,exact,0.1496000331826508,1.0,1.0,8,8.870287353771914,0.10878591922148928,6,1.8333333333333333,18,9.356286317304797,0,8,1992,0,0,8,,,,,,,,0,,,,,,partition_ann,0.057999975979328156,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_smoke,7,41,global_filter,1.7275999998673797,1.0,1.0,8,8.870287353771914,0.10878591922148928,6,1.8333333333333333,18,9.356286317304797,0,2000,1992,0,6,8,,,,,,,,0,,,,,,partition_ann,0.057999975979328156,1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000
static_smoke,7,41,partition_ann,0.057999975979328156,1.0,1.0,8,8.870287353771914,0.10878591922148928,6,1.8333333333333333,18,9.356286317304797,0,11,3,6,0,8,,,,,,,,0,,,,,,partition_ann,0.057999975979328156,1.0,2000.0,0.0,0.0,0.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,41,hybrid,0.1531000016257167,1.0,1.0,8,8.870287353771914,0.10878591922148928,6,1.8333333333333333,18,9.356286317304797,0,8,1992,0,0,8,RuleBasedPlanner,exact,8.870287353771914,6,1.8333333333333333,18,9.356286317304797,0,2000,0,0.0,0.0,0.6764155162852327,partition_ann,0.057999975979328156,1.0,2000.0,0.0,0.0,1.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,42,exact,0.1750999945215881,1.0,1.0,9,8.495540157323807,0.05605109363068807,7,1.4285714285714286,14,9.356286317304797,0,9,1991,0,0,9,,,,,,,,0,,,,,,partition_ann,0.10309997014701366,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_smoke,7,42,global_filter,1.7577999969944358,1.0,1.0,9,8.495540157323807,0.05605109363068807,7,1.4285714285714286,14,9.356286317304797,0,2000,1991,0,6,9,,,,,,,,0,,,,,,partition_ann,0.10309997014701366,1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000
static_smoke,7,42,partition_ann,0.10309997014701366,1.0,1.0,9,8.495540157323807,0.05605109363068807,7,1.4285714285714286,14,9.356286317304797,0,10,1,7,0,9,,,,,,,,0,,,,,,partition_ann,0.10309997014701366,1.0,2000.0,0.0,0.0,0.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,42,hybrid,0.17740001203492284,1.0,1.0,9,8.495540157323807,0.05605109363068807,7,1.4285714285714286,14,9.356286317304797,0,9,1991,0,0,9,RuleBasedPlanner,exact,8.495540157323807,7,1.4285714285714286,14,9.356286317304797,0,2000,0,0.0,0.0,0.8239617340829662,partition_ann,0.10309997014701366,1.0,2000.0,0.0,0.0,1.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,43,exact,0.16460003098472953,1.0,1.0,10,9.763417986134806,0.023658201386519372,9,1.3333333333333333,18,9.3562863173048,0,10,1990,0,0,10,,,,,,,,0,,,,,,partition_ann,0.09089999366551638,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_smoke,7,43,global_filter,1.711399992927909,1.0,1.0,10,9.763417986134806,0.023658201386519372,9,1.3333333333333333,18,9.3562863173048,0,2000,1981,0,6,10,,,,,,,,0,,,,,,partition_ann,0.09089999366551638,1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000
static_smoke,7,43,partition_ann,0.09089999366551638,1.0,1.0,10,9.763417986134806,0.023658201386519372,9,1.3333333333333333,18,9.3562863173048,0,12,2,9,0,10,,,,,,,,0,,,,,,partition_ann,0.09089999366551638,1.0,2000.0,0.0,0.0,0.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,43,hybrid,0.1674999948590994,1.0,1.0,10,9.763417986134806,0.023658201386519372,9,1.3333333333333333,18,9.3562863173048,0,10,1990,0,0,10,RuleBasedPlanner,exact,9.763417986134806,9,1.3333333333333333,18,9.3562863173048,0,2000,0,0.0,0.0,0.9218083270409042,partition_ann,0.09089999366551638,1.0,2000.0,0.0,0.0,1.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,44,exact,0.17040001694113016,1.0,1.0,17,16.88365273922392,0.006843956516240055,17,1.411764705882353,18,9.3562863173048,0,17,1983,0,0,17,,,,,,,,0,,,,,,partition_ann,0.09960000170394778,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_smoke,7,44,global_filter,1.120300032198429,1.0,1.0,17,16.88365273922392,0.006843956516240055,17,1.411764705882353,18,9.3562863173048,0,1600,1109,0,5,10,,,,,,,,0,,,,,,partition_ann,0.09960000170394778,1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000
static_smoke,7,44,partition_ann,0.09960000170394778,1.0,1.0,17,16.88365273922392,0.006843956516240055,17,1.411764705882353,18,9.3562863173048,0,24,7,17,0,17,,,,,,,,0,,,,,,partition_ann,0.09960000170394778,1.0,2000.0,0.0,0.0,0.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,44,hybrid,0.17229997320100665,1.0,1.0,17,16.88365273922392,0.006843956516240055,17,1.411764705882353,18,9.3562863173048,0,17,1983,0,0,17,RuleBasedPlanner,exact,16.88365273922392,17,1.411764705882353,18,9.3562863173048,0,2000,0,0.0,0.0,1.0068911190352656,partition_ann,0.09960000170394778,1.0,2000.0,0.0,0.0,1.0,1476.0,0.0,0.0,0.0,0.0,
static_smoke,7,45,exact,0.17830001888796687,1.0,1.0,12,12.574081163868556,0.04784009698904631,10,1.3,18,9.356286317304797,0,12,1988,0,0,12,,,,,,,,0,,,,,,partition_ann,0.12009998317807913,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
